year,Population,council,waste_pp,garbage_pp,recycle_pp,organic_pp,collect_type,amount,diversion_rate
2002,91000,Bayside City Council,0.417417582,0.243736264,0.087967033,0.085714286,organic_collect,7800,0.416085297
2002,91000,Bayside City Council,0.417417582,0.243736264,0.087967033,0.085714286,aluminium_collect,51,0.416085297
2002,91000,Bayside City Council,0.417417582,0.243736264,0.087967033,0.085714286,steel_collect,223,0.416085297
2002,91000,Bayside City Council,0.417417582,0.243736264,0.087967033,0.085714286,paper_collect,3995,0.416085297
2002,91000,Bayside City Council,0.417417582,0.243736264,0.087967033,0.085714286,plastic_collect,329,0.416085297
2002,91000,Bayside City Council,0.417417582,0.243736264,0.087967033,0.085714286,total_glass_collect,3407,0.416085297
2002,158000,Boroondara City Council,0.404968354,0.241183544,0.106006329,0.057778481,total_garbage_collect,38107,0.40443854
2002,158000,Boroondara City Council,0.404968354,0.241183544,0.106006329,0.057778481,total_recycle_actual,16492,0.40443854
2002,158000,Boroondara City Council,0.404968354,0.241183544,0.106006329,0.057778481,organic_collect,9129,0.40443854
2002,158000,Boroondara City Council,0.404968354,0.241183544,0.106006329,0.057778481,aluminium_collect,57,0.40443854
2002,158000,Boroondara City Council,0.404968354,0.241183544,0.106006329,0.057778481,steel_collect,243,0.40443854
2002,158000,Boroondara City Council,0.404968354,0.241183544,0.106006329,0.057778481,paper_collect,10057,0.40443854
2002,158000,Boroondara City Council,0.404968354,0.241183544,0.106006329,0.057778481,plastic_collect,1597,0.40443854
2002,158000,Boroondara City Council,0.404968354,0.241183544,0.106006329,0.057778481,total_glass_collect,4538,0.40443854
2002,169000,Brimbank City Council,0.317372781,0.245857988,0.058497041,0.013017751,total_garbage_collect,41550,0.225333731
2002,169000,Brimbank City Council,0.317372781,0.245857988,0.058497041,0.013017751,total_recycle_actual,9886,0.225333731
2002,169000,Brimbank City Council,0.317372781,0.245857988,0.058497041,0.013017751,organic_collect,2200,0.225333731
2002,169000,Brimbank City Council,0.317372781,0.245857988,0.058497041,0.013017751,aluminium_collect,202,0.225333731
2002,169000,Brimbank City Council,0.317372781,0.245857988,0.058497041,0.013017751,steel_collect,313,0.225333731
2002,169000,Brimbank City Council,0.317372781,0.245857988,0.058497041,0.013017751,paper_collect,4921,0.225333731
2002,169000,Brimbank City Council,0.317372781,0.245857988,0.058497041,0.013017751,plastic_collect,1440,0.225333731
2002,169000,Brimbank City Council,0.317372781,0.245857988,0.058497041,0.013017751,total_glass_collect,3010,0.225333731
2002,7600,Buloke Shire Council,0.266184211,0.233684211,0.0325,0,total_garbage_collect,1776,0.122095897
2002,7600,Buloke Shire Council,0.266184211,0.233684211,0.0325,0,total_recycle_actual,247,0.122095897
2002,7600,Buloke Shire Council,0.266184211,0.233684211,0.0325,0,organic_collect,0,0.122095897
2002,7600,Buloke Shire Council,0.266184211,0.233684211,0.0325,0,aluminium_collect,2.05,0.122095897
