recycle_centre,waste_type,longtitude,latitude
Woolworths South Morang,battery,145.0816445,-37.65623209
Woolworths South Morang Central,battery,145.0751031,-37.64896038
Woolworths St Helena,battery,145.1359071,-37.68484673
Yarra Council Centre,cardboard,145.0019412,-37.79325372
Yarra Council Centre,battery,145.0018178,-37.79319018
Outlook Environmenta,cardboard,145.2672165,-38.05300911
Future Recycling Transfer Station - Pakenham,cardboard,145.4916231,-38.09736505
Frankston Regional Recycling & Recovery Centre,cardboard,145.2180972,-38.12239464
Lysterfield Transfer Station And Recycling Centre,cardboard,145.3192091,-37.94371159
Outlook Environmenta,mattresses,145.2672165,-38.05300911
Future Recycling Transfer Station - Pakenham,mattresses,145.4916231,-38.09736505
Frankston Regional Recycling & Recovery Centre,mattresses,145.2180972,-38.12239464
Lysterfield Transfer Station And Recycling Centre,mattresses,145.3192091,-37.94371159
Outlook Environmenta,battery,145.2672165,-38.05300911
Woolworths Casey Central,battery,145.3007199,-38.06643419
Woolworth Berwick,battery,145.3469803,-38.02950975
Aldi Fountain Gate,battery,145.3010155,-38.01753492
Officeworks Narre Warren,battery,145.3065149,-38.02143233
Aldi Hampton Park,battery,145.2842342,-38.03434261
Battery World Dandenong,battery,145.2183472,-38.00079606
Aldi Berwick,battery,145.3396577,-38.06100899
Aldi Beaconsfield,battery,145.3680468,-38.04453129
Bunnings Fountain Gate,battery,145.3087338,-38.01463733
Bunnings Cranbourne,battery,145.2786253,-38.0792588
Boroondara Waste And Recycling Centre,cardboard,145.0698456,-37.83322553
Boroondara Waste And Recycling Centre,mattresses,145.0698456,-37.83322553
Boroondara Waste And Recycling Centre,battery,145.0698456,-37.83322553
Officework Bundoora ,battery,145.0543873,-37.70415582
Officework Ballarat,battery,144.888945,-37.70844129
Officeworks Airport West,battery,144.8889596,-37.7136814
Officeworks Altona North,battery,144.84386,-37.84430284
Officeworks Bayswater,battery,145.2823328,-37.82877559
Officeworks Bendigo,battery,144.275173,-36.72738653
Officeworks Camberwell,battery,145.0584616,-37.83059095
Officeworks Campbellfield,battery,144.9594743,-37.68728231
Officeworks Caroline Springs,battery,144.7465121,-37.75898662
Officeworks Chirnside Park,battery,144.7464906,-37.75895269
Officeworks Coburg,battery,144.9585824,-37.73264783
Officeworks Cranbourne,battery,145.2794144,-38.07138042
Officeworks Dandenong South,battery,145.2178187,-38.00538693
Officeworks Elizabeth St,battery,144.9634852,-37.81555866
Officeworks Elsternwick,battery,145.0044942,-37.88433542
Officeworks Ferntree Gully,battery,145.2738584,-37.88209221
Officeworks Fitzroy,battery,144.9846501,-37.79423535
Officeworks Frankston,battery,144.9833314,-37.78426979
Officeworks Geelong,battery,144.363872,-38.14838103
Officeworks Highett,battery,145.0459891,-37.94694734
Officeworks Kew East,battery,145.0571513,-37.79079047
Officeworks Keysborough,battery,145.1521688,-37.99109921
